size,performance,std_dev,upper_bound,lower_bound
6k,-16.437293708738753,25.717143418906318,33.967381177568896,-66.84196859504641
12k,-6.757294733696557,12.50568590495892,17.75339924199312,-31.267988709386234
25k,-3.919889402577509,4.996682066388741,5.873427489741598,-13.713206294896615
50k,-2.704071673358848,4.066638150141962,5.2663926390759865,-10.674535985793684
100k,-1.2824270050127669,2.98223503089386,4.562646248972895,-7.1275002589984275
200k,-0.3131756397962424,2.334767215451135,4.262884014772851,-4.889235294365335
400k,0.37537811190499765,1.5352576555906081,3.384427823851988,-2.6336716000419926
