size,performance,std_dev,upper_bound,lower_bound
6k,145.23388635939492,84.66183000746425,311.16802403927727,-20.70025132048741
12k,181.45699469829867,52.315465624153745,283.9934231560833,78.92056624051408
25k,195.5805014984587,15.936163663827392,226.81480833129626,164.3461946656211
50k,199.2087874209415,12.016987250770722,222.76164963512912,175.65592520675386
100k,201.8708341945961,9.41945622326114,220.33262914613962,183.4090392430526
200k,203.89046281976476,7.750399539629797,219.08096678323497,188.69995885629456
400k,208.0185577807878,4.777783710046604,217.3828417784013,198.6542737831743
